[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000517s ]
[ 2014-03-01T19:09:12+08:00 ] /yuming/?&p=4 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000594s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001161s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001383s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.005425s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.021083s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 80,20   [ RunTime:0.000372s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run LocationTemplate Behavior [ RunTime:0.000713s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000795s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run ParseTemplate Behavior [ RunTime:0.011213s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011362s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run ContentReplace Behavior [ RunTime:0.000474s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run TokenBuild Behavior [ RunTime:0.000505s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000301s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run ShowRuntime Behavior [ RunTime:0.000537s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002025s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000526s ]
[ 2014-03-01T19:09:19+08:00 ] /yuming/?&p=5 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000604s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000697s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000845s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.003911s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | SQL: SELECT COUNT(*) AS tp_count FROM `domain` LIMIT 1   [ RunTime:0.021253s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | SQL: SELECT `id`,`name`,`org`,`uts` FROM `domain` ORDER BY id asc LIMIT 100,20   [ RunTime:0.000367s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_template ] --START--
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run LocationTemplate Behavior [ RunTime:0.000801s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000907s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_parse ] --START--
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run ParseTemplate Behavior [ RunTime:0.011550s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011679s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_filter ] --START--
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run ContentReplace Behavior [ RunTime:0.000491s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000299s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run ShowRuntime Behavior [ RunTime:0.000592s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002107s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_end ] --START--
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000796s ]
[ 2014-03-01T19:09:20+08:00 ] /yuming/?&p=6 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000902s ]
[ 2014-03-01T19:09:22+08:00 ] /yuming/?&p=7 | INFO: Tag[ app_begin ] --START--
[ 2014-03-01T19:09:22+08:00 ] /yuming/?&p=7 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000629s ]
[ 2014-03-01T19:09:22+08:00 ] /yuming/?&p=7 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000762s ]
[ 2014-03-01T19:09:22+08:00 ] /yuming/?&p=7 | SQL: SHOW COLUMNS FROM `domain` [ RunTime:0.004076s ]
